name;id;description;vendorId;link;preDefined
Aruba 7200 Series Mobility Controller;2257;Aruba Product Series;60;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2257', '@rel': 'self', '@op': 'GET'};true
HP 6000;2258;HP Product Series;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2258', '@rel': 'self', '@op': 'GET'};true
HPE Aruba 2930F Switch;2259;HP Product Series;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2259', '@rel': 'self', '@op': 'GET'};true
H3C S5130 Series;2260;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2260', '@rel': 'self', '@op': 'GET'};true
H3C S5500 Series;2261;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2261', '@rel': 'self', '@op': 'GET'};true
UNIS F5000-M06;2262;UNIS Product Series;233;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2262', '@rel': 'self', '@op': 'GET'};true
UNIS T5000-M06;2263;UNIS Product Series;233;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2263', '@rel': 'self', '@op': 'GET'};true
H3C RA10X Series;2264;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2264', '@rel': 'self', '@op': 'GET'};true
H3C V7 T9000 Series;2265;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2265', '@rel': 'self', '@op': 'GET'};true
H3C Mini;2266;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2266', '@rel': 'self', '@op': 'GET'};true
UNIS ACG1000;2267;UNIS Product Series;233;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2267', '@rel': 'self', '@op': 'GET'};true
UNIS F1000G;2268;UNIS Product Series;233;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2268', '@rel': 'self', '@op': 'GET'};true
UNIS F5000G;2269;UNIS Product Series;233;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2269', '@rel': 'self', '@op': 'GET'};true
UNIS T1000G;2270;UNIS Product Series;233;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2270', '@rel': 'self', '@op': 'GET'};true
UNIS T5000G;2271;UNIS Product Series;233;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2271', '@rel': 'self', '@op': 'GET'};true
H3C S6830;2272;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2272', '@rel': 'self', '@op': 'GET'};true
