name;preDefined;contact;iconId;description;link;phone;id
Allied Telesis;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/54', '@rel': 'self', '@op': 'GET'};;54
Ancor Communications;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/55', '@rel': 'self', '@op': 'GET'};;55
Apple;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/56', '@rel': 'self', '@op': 'GET'};;56
Applied Innovations;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/57', '@rel': 'self', '@op': 'GET'};;57
ARESCOM;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/58', '@rel': 'self', '@op': 'GET'};;58
Artem;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/59', '@rel': 'self', '@op': 'GET'};;59
Aruba Networks;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/60', '@rel': 'self', '@op': 'GET'};;60
Asante Technology;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/61', '@rel': 'self', '@op': 'GET'};;61
Ascend;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/62', '@rel': 'self', '@op': 'GET'};;62
ATL Products;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/63', '@rel': 'self', '@op': 'GET'};;63
Atlas Computer Equipment;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/64', '@rel': 'self', '@op': 'GET'};;64
Avaya;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/65', '@rel': 'self', '@op': 'GET'};;65
Axis Communications;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/66', '@rel': 'self', '@op': 'GET'};;66
BATM;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/67', '@rel': 'self', '@op': 'GET'};;67
Blue Coat Systems;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/68', '@rel': 'self', '@op': 'GET'};;68
Broadband Access Systems;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/69', '@rel': 'self', '@op': 'GET'};;69
Brocade;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/70', '@rel': 'self', '@op': 'GET'};;70
Bytemobile;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/71', '@rel': 'self', '@op': 'GET'};;71
Caldera;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/72', '@rel': 'self', '@op': 'GET'};;72
Canon;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/73', '@rel': 'self', '@op': 'GET'};;73
Carrier Access;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/74', '@rel': 'self', '@op': 'GET'};;74
Cascade Communications;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/75', '@rel': 'self', '@op': 'GET'};;75
Case Communications;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/76', '@rel': 'self', '@op': 'GET'};;76
Castelle Communications;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/77', '@rel': 'self', '@op': 'GET'};;77
