name;preDefined;contact;iconId;description;link;phone;id
Sync Research;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/203', '@rel': 'self', '@op': 'GET'};;203
TAC;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/204', '@rel': 'self', '@op': 'GET'};;204
Tandberg;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/205', '@rel': 'self', '@op': 'GET'};;205
Tasman;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/206', '@rel': 'self', '@op': 'GET'};;206
Technically Elite;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/207', '@rel': 'self', '@op': 'GET'};;207
Tektronix;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/208', '@rel': 'self', '@op': 'GET'};;208
Telco Research;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/209', '@rel': 'self', '@op': 'GET'};;209
Telco Systems NAC;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/210', '@rel': 'self', '@op': 'GET'};;210
TIBCO;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/211', '@rel': 'self', '@op': 'GET'};;211
Toshiba;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/212', '@rel': 'self', '@op': 'GET'};;212
Transition Engineering;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/213', '@rel': 'self', '@op': 'GET'};;213
Trapeze Networks;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/214', '@rel': 'self', '@op': 'GET'};;214
TUBS;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/215', '@rel': 'self', '@op': 'GET'};;215
Turbo Linux;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/216', '@rel': 'self', '@op': 'GET'};;216
U.S. Software;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/217', '@rel': 'self', '@op': 'GET'};;217
Ungermann-Bass;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/218', '@rel': 'self', '@op': 'GET'};;218
Verso;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/219', '@rel': 'self', '@op': 'GET'};;219
Visual Networks;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/220', '@rel': 'self', '@op': 'GET'};;220
Vnetek Communications;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/221', '@rel': 'self', '@op': 'GET'};;221
Western Multiplex;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/222', '@rel': 'self', '@op': 'GET'};;222
Wiesemann/Theis;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/223', '@rel': 'self', '@op': 'GET'};;223
Wyse Technology;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/224', '@rel': 'self', '@op': 'GET'};;224
Xedia;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/225', '@rel': 'self', '@op': 'GET'};;225
Xylogics;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/226', '@rel': 'self', '@op': 'GET'};;226
Xyplex;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/227', '@rel': 'self', '@op': 'GET'};;227
Yamaha;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/228', '@rel': 'self', '@op': 'GET'};;228
Zyxel;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/229', '@rel': 'self', '@op': 'GET'};;229
VMWare;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/230', '@rel': 'self', '@op': 'GET'};;230
Ruijie;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/231', '@rel': 'self', '@op': 'GET'};;231
ZTE;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/232', '@rel': 'self', '@op': 'GET'};;232
UNIS;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/233', '@rel': 'self', '@op': 'GET'};;233
HIKVERSION;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/234', '@rel': 'self', '@op': 'GET'};;234
DAHUA;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/235', '@rel': 'self', '@op': 'GET'};;235
Mikrotik;false;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/10001', '@rel': 'self', '@op': 'GET'};;10001
