UnitType,itemName,userAddUnit,unit,selectDefaultUnit,indexType,indexDesc,itemFunction
0,Cisco_Temperature,,Celsius,400,[index1[0]:ciscoEnvMonTemperatureStatusValue:1:0],1.3.6.1.4.1.9.9.13.1.3.1.3,1.3.6.1.4.1.9.9.13.1.3.1.3
0,ArubaOS_Percentage_of_PoE_Power_Used,$TotalPoE,%,10,[index1[0]:Slot:1:0],1.3.6.1.4.1.11.2.14.11.1.2.3.1.1,1.3.6.1.2.1.105.1.3.1.1.4/1.3.6.1.2.1.105.1.3.1.1.2*100
1,SrvrTech_Sentry_Total_Sys_Power (Watts),Watts,Watts,,[index1[0]:SystemTotalPower:1:0],1.3.6.1.4.1.1718.3.1.6,1.3.6.1.4.1.1718.3.1.6
1,Cisco_CME_Registered_Phones,Phones,Phones,,[index1[0]:ccmeEphoneTotRegistered:1:0],1.3.6.1.4.1.9.9.439.1.2.3,1.3.6.1.4.1.9.9.439.1.2.3
